# depth[mm]	Amp[V]	HF [V]	TGC [dB]
50.6	0.019	0.009	14.646
50.7	0.020	0.009	14.646
50.9	0.021	-0.007	14.803
51.0	0.021	-0.015	14.803
51.1	0.021	-0.015	14.803
51.3	0.021	0.001	14.803
51.4	0.020	0.016	14.803
51.5	0.018	0.009	14.803
51.7	0.015	-0.007	14.803
51.8	0.015	-0.007	14.961
51.9	0.017	0.009	14.961
52.1	0.020	0.009	14.961
52.2	0.021	-0.007	14.961
52.3	0.020	-0.023	14.961
52.5	0.018	-0.007	15.118
52.6	0.017	0.009	15.118
52.7	0.020	0.016	15.118
52.9	0.024	0.009	15.118
53.0	0.025	-0.015	15.118
53.1	0.023	-0.023	15.118
53.3	0.017	-0.007	15.276
53.4	0.012	0.001	15.276
53.5	0.010	0.009	15.276
53.7	0.011	0.009	15.276
53.8	0.013	0.001	15.433
53.9	0.013	-0.007	15.433
54.1	0.011	-0.007	15.433
54.2	0.009	0.001	15.433
54.3	0.009	0.001	15.433
54.5	0.012	-0.007	15.591
54.6	0.016	-0.015	15.591
54.7	0.018	0.001	15.591
54.9	0.019	0.016	15.591
55.0	0.017	0.009	15.591
55.1	0.015	-0.007	15.591
55.3	0.012	-0.007	15.748
55.4	0.010	-0.007	15.748
55.5	0.008	-0.007	15.748
55.7	0.008	0.001	15.748
55.8	0.010	0.009	15.748
55.9	0.013	0.009	15.906
56.1	0.015	0.001	15.906
56.2	0.015	-0.015	15.906
56.3	0.014	-0.007	15.906
56.5	0.014	-0.007	15.906
56.6	0.014	0.001	16.063
56.7	0.017	0.016	15.906
56.9	0.018	0.009	16.063
57.0	0.017	-0.007	16.063
57.1	0.015	-0.015	16.063
57.3	0.013	-0.007	16.220
57.4	0.012	-0.007	16.220
57.5	0.013	0.009	16.220
57.7	0.015	0.016	16.220
57.8	0.016	0.001	16.220
57.9	0.015	-0.007	16.220
58.1	0.013	-0.015	16.220
58.2	0.012	0.001	16.378
58.3	0.012	0.009	16.378
58.5	0.014	0.009	16.378
58.6	0.015	-0.007	16.378
58.7	0.015	-0.015	16.535
58.9	0.013	0.001	16.535
59.0	0.009	0.009	16.535
59.1	0.006	0.001	16.535
59.3	0.004	0.001	16.535
59.4	0.004	0.001	16.535
59.5	0.005	0.001	16.535
59.7	0.008	-0.007	16.693
59.8	0.011	-0.007	16.693
59.9	0.014	-0.007	16.693
60.1	0.015	0.016	16.850
60.2	0.015	0.009	16.850
60.3	0.012	0.001	16.850
60.5	0.010	-0.007	16.850
60.6	0.009	-0.007	17.008
60.7	0.009	-0.007	16.850
60.9	0.011	0.009	17.008
61.0	0.013	0.009	17.008
61.1	0.014	0.009	17.008
61.3	0.013	-0.007	17.008
61.4	0.010	-0.007	17.008
61.5	0.007	-0.007	17.165
61.7	0.006	0.001	17.165
61.8	0.006	0.001	17.165
61.9	0.008	0.009	17.165
62.1	0.009	0.001	17.323
62.2	0.010	0.009	17.323
62.3	0.010	0.001	17.323
62.5	0.010	-0.007	17.323
62.6	0.012	-0.007	17.323
62.7	0.015	0.009	17.323
62.9	0.018	0.016	17.480
63.0	0.018	0.001	17.323
63.1	0.015	-0.015	17.480
63.3	0.012	-0.007	17.480
63.4	0.011	-0.007	17.480
63.5	0.011	0.001	17.638
63.7	0.014	0.009	17.638
63.8	0.015	0.016	17.638
63.9	0.014	0.001	17.638
64.1	0.013	-0.007	17.795
64.2	0.012	-0.007	17.795
64.3	0.012	0.001	17.638
64.5	0.014	0.016	17.795
64.6	0.015	0.009	17.638
64.7	0.014	0.001	17.795
64.9	0.011	-0.007	17.953
65.0	0.008	-0.007	17.953
65.1	0.007	-0.007	17.953
65.3	0.010	0.001	17.953
65.4	0.014	0.009	17.953
65.5	0.016	0.016	18.110
65.7	0.015	0.001	18.110
65.8	0.011	-0.007	18.110
65.9	0.008	-0.007	18.110
66.1	0.006	-0.007	18.110
66.2	0.007	0.001	18.110
66.3	0.010	0.001	18.110
66.5	0.014	0.016	18.268
66.6	0.016	0.009	18.268
66.8	0.017	0.001	18.268
66.9	0.018	-0.015	18.425
67.0	0.017	-0.015	18.425
67.2	0.015	0.001	18.425
67.3	0.012	0.009	18.425
67.4	0.010	0.009	18.425
67.6	0.010	0.009	18.425
67.7	0.011	0.009	18.583
67.8	0.015	-0.007	18.583
68.0	0.018	-0.015	18.583
68.1	0.018	0.001	18.583
68.2	0.016	0.016	18.583
68.4	0.011	0.009	18.740
68.5	0.006	0.001	18.740
68.6	0.003	0.001	18.740
68.8	0.004	0.001	18.740
68.9	0.005	0.009	18.898
69.0	0.006	0.001	18.740
69.2	0.006	0.001	18.740
69.3	0.004	0.001	18.898
69.4	0.003	0.001	18.898
69.6	0.002	0.001	18.898
69.7	0.003	0.001	18.898
69.8	0.003	0.001	19.055
70.0	0.003	0.001	19.055
70.1	0.003	0.001	19.055
70.2	0.002	0.001	19.055
70.4	0.002	0.001	19.055
70.5	0.003	0.001	19.213
70.6	0.003	0.001	19.213
70.8	0.004	0.001	19.213
70.9	0.005	0.001	19.213
71.0	0.006	-0.007	19.213
71.2	0.008	0.001	19.213
71.3	0.010	0.009	19.370
71.4	0.010	0.009	19.370
71.6	0.010	0.001	19.370
71.7	0.009	-0.007	19.370
71.8	0.009	-0.007	19.370
72.0	0.009	0.001	19.528
72.1	0.009	0.009	19.528
72.2	0.009	0.009	19.528
