# depth[mm]	Amp[V]	HF [V]	TGC [dB]
65.5	0.017	-0.019	15.591
65.6	0.016	-0.011	15.591
65.8	0.015	-0.003	15.591
65.9	0.017	0.005	15.591
66.0	0.019	0.021	15.591
66.2	0.021	0.013	15.591
66.3	0.021	-0.003	15.748
66.4	0.018	-0.019	15.748
66.6	0.013	-0.011	15.748
66.7	0.008	-0.003	15.748
66.8	0.005	-0.003	15.748
67.0	0.004	-0.003	15.748
67.1	0.005	0.005	15.906
67.3	0.007	0.005	15.906
67.4	0.009	0.005	15.906
67.5	0.012	-0.003	15.906
67.7	0.015	-0.011	16.063
67.8	0.016	-0.019	16.063
67.9	0.015	-0.003	16.063
68.1	0.014	0.005	16.063
68.2	0.014	0.013	16.063
68.3	0.016	0.013	16.063
68.5	0.019	-0.003	16.220
68.6	0.021	-0.019	16.220
68.8	0.020	-0.019	16.220
68.9	0.017	-0.003	16.378
69.0	0.014	0.005	16.378
69.2	0.013	0.013	16.220
69.3	0.015	0.013	16.378
69.4	0.016	-0.003	16.378
69.6	0.015	-0.011	16.378
69.7	0.011	-0.011	16.378
69.8	0.005	-0.003	16.535
70.0	0.002	-0.003	16.535
70.1	0.002	-0.003	16.535
70.3	0.007	0.005	16.535
70.4	0.013	0.005	16.535
70.5	0.018	-0.011	16.693
70.7	0.019	-0.019	16.693
70.8	0.017	-0.011	16.693
70.9	0.014	0.005	16.693
71.1	0.013	0.013	16.693
71.2	0.014	0.005	16.693
71.4	0.016	-0.003	16.693
71.5	0.016	-0.019	16.850
71.6	0.014	-0.011	16.850
71.8	0.010	-0.003	16.850
71.9	0.008	0.005	16.850
72.0	0.008	-0.003	16.850
72.2	0.011	-0.011	17.008
72.3	0.016	-0.011	17.008
72.4	0.019	0.005	17.008
72.6	0.021	0.021	17.008
72.7	0.021	0.013	17.008
72.9	0.022	-0.003	17.165
73.0	0.023	-0.019	17.165
73.1	0.025	-0.026	17.165
73.3	0.025	-0.011	17.165
73.4	0.022	0.013	17.165
73.5	0.016	0.013	17.165
73.7	0.009	-0.003	17.165
73.8	0.005	-0.003	17.323
73.9	0.007	0.005	17.323
74.1	0.013	-0.003	17.323
74.2	0.022	-0.019	17.323
74.4	0.030	-0.026	17.480
74.5	0.033	-0.003	17.480
74.6	0.033	0.029	17.480
74.8	0.033	0.029	17.480
74.9	0.033	0.013	17.480
75.0	0.035	-0.019	17.638
75.2	0.036	-0.034	17.638
75.3	0.035	-0.026	17.638
75.4	0.030	0.005	17.638
75.6	0.024	0.021	17.638
75.7	0.019	0.013	17.638
75.9	0.016	0.013	17.795
76.0	0.017	-0.003	17.795
76.1	0.018	-0.011	17.795
76.3	0.017	-0.019	17.795
76.4	0.016	-0.003	17.795
76.5	0.014	-0.019	17.795
76.7	0.012	0.005	17.953
76.8	0.011	-0.011	17.953
76.9	0.010	0.005	17.953
77.1	0.008	0.005	17.953
77.2	0.006	0.005	18.110
77.4	0.004	-0.003	17.953
77.5	0.003	-0.003	18.110
77.6	0.003	-0.003	18.110
77.8	0.005	-0.003	18.110
77.9	0.006	-0.003	18.110
78.0	0.006	0.005	18.268
78.2	0.008	0.005	18.268
78.3	0.009	-0.003	18.268
78.4	0.010	-0.011	18.268
78.6	0.010	-0.003	18.268
78.7	0.008	0.005	18.425
78.9	0.006	0.005	18.425
79.0	0.005	-0.003	18.425
79.1	0.005	-0.003	18.425
79.3	0.006	0.005	18.425
79.4	0.007	0.005	18.425
79.5	0.007	-0.003	18.425
79.7	0.005	-0.003	18.583
79.8	0.003	-0.003	18.583
79.9	0.003	-0.003	18.583
80.1	0.004	-0.003	18.583
80.2	0.006	-0.003	18.583
80.4	0.007	0.005	18.740
80.5	0.008	-0.003	18.740
80.6	0.007	-0.003	18.740
80.8	0.007	0.005	18.740
80.9	0.007	0.005	18.740
81.0	0.009	-0.003	18.740
81.2	0.012	-0.011	18.898
81.3	0.014	-0.011	18.898
81.4	0.015	0.005	18.898
81.6	0.014	0.013	18.898
81.7	0.013	0.005	18.898
81.9	0.011	-0.011	18.898
82.0	0.010	-0.003	19.055
82.1	0.009	-0.003	19.055
82.3	0.009	-0.003	19.055
82.4	0.008	0.005	19.055
82.5	0.007	0.005	19.213
82.7	0.006	0.005	19.213
82.8	0.008	0.005	19.213
82.9	0.012	0.005	19.213
83.1	0.017	-0.003	19.213
83.2	0.020	-0.019	19.213
83.4	0.021	-0.019	19.213
83.5	0.019	-0.003	19.370
83.6	0.015	0.013	19.370
83.8	0.011	0.005	19.370
83.9	0.010	-0.003	19.370
84.0	0.011	-0.011	19.528
84.2	0.014	-0.003	19.528
84.3	0.017	0.013	19.528
84.4	0.018	0.013	19.528
84.6	0.017	-0.003	19.528
84.7	0.015	-0.011	19.528
84.9	0.012	-0.003	19.685
85.0	0.009	-0.011	19.685
85.1	0.008	-0.003	19.685
85.3	0.007	-0.003	19.685
85.4	0.008	0.005	19.685
85.5	0.010	0.005	19.685
85.7	0.011	-0.003	19.843
85.8	0.011	-0.011	19.843
85.9	0.010	0.005	19.843
86.1	0.009	0.005	19.843
86.2	0.008	-0.003	19.843
86.4	0.007	-0.003	20.000
86.5	0.008	0.005	20.000
86.6	0.009	-0.003	20.000
86.8	0.011	-0.011	20.000
86.9	0.012	0.005	20.157
87.0	0.012	0.005	20.157
87.2	0.010	-0.003	20.157
87.3	0.008	-0.003	20.000
87.4	0.007	-0.003	20.157
87.6	0.008	-0.003	20.157
87.7	0.010	-0.003	20.315
87.9	0.012	-0.003	20.315
88.0	0.011	-0.003	20.315
88.1	0.009	0.005	20.315
88.3	0.007	-0.003	20.315
88.4	0.007	-0.003	20.315
88.5	0.009	-0.003	20.472
88.7	0.012	-0.003	20.472
88.8	0.014	0.005	20.472
88.9	0.014	0.013	20.472
89.1	0.011	-0.003	20.472
89.2	0.009	-0.003	20.472
89.4	0.008	-0.003	20.630
89.5	0.009	0.005	20.630
89.6	0.012	0.005	20.630
89.8	0.014	0.005	20.630
89.9	0.014	-0.011	20.630
90.0	0.013	-0.011	20.630
90.2	0.013	0.005	20.787
90.3	0.014	0.005	20.787
90.4	0.015	0.005	20.787
90.6	0.015	0.005	20.787
90.7	0.015	-0.011	20.945
90.9	0.013	-0.011	20.945
91.0	0.012	-0.003	20.945
91.1	0.012	-0.003	20.945
91.3	0.013	-0.003	20.945
91.4	0.013	-0.003	20.945
91.5	0.013	-0.003	20.945
91.7	0.012	0.005	21.102
91.8	0.012	0.005	21.102
92.0	0.012	0.005	21.102
92.1	0.013	-0.003	21.102
92.2	0.014	-0.011	21.260
92.4	0.014	-0.003	21.260
92.5	0.014	0.005	21.260
92.6	0.015	0.005	21.260
92.8	0.016	-0.003	21.260
92.9	0.017	-0.003	21.260
93.0	0.017	-0.003	21.417
93.2	0.017	-0.011	21.417
93.3	0.016	-0.003	21.417
93.5	0.016	-0.003	21.417
93.6	0.016	-0.003	21.417
93.7	0.017	-0.011	21.417
93.9	0.016	-0.003	21.575
94.0	0.015	-0.003	21.575
94.1	0.015	-0.003	21.575
94.3	0.016	-0.003	21.575
94.4	0.018	-0.003	21.575
94.5	0.021	-0.003	21.732
94.7	0.022	-0.011	21.732
94.8	0.022	-0.011	21.732
95.0	0.021	0.005	21.732
95.1	0.021	0.005	21.732
95.2	0.023	-0.003	21.732
95.4	0.026	-0.003	21.732
95.5	0.029	0.005	21.890
95.6	0.030	-0.019	21.890
95.8	0.030	-0.011	21.890
95.9	0.027	-0.019	22.047
96.0	0.025	0.013	21.890
96.2	0.026	0.013	21.890
