#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)
371	56.73	62.19	61.03	66.71
372	56.87	62.82	61.45	67.45
373	57.03	63.42	61.88	68.13
374	57.20	63.97	62.32	68.76
375	57.39	64.50	62.76	69.35
376	57.59	65.00	63.20	69.91
377	57.80	65.48	63.63	70.42
378	58.01	65.92	64.06	70.90
379	58.23	66.34	64.49	71.36
380	58.45	66.74	64.91	71.80
381	58.68	67.12	65.32	72.21
382	58.90	67.46	65.73	72.52
383	59.13	67.62	66.10	72.25
384	59.35	67.49	66.38	71.50
385	59.55	67.13	66.52	70.53
386	59.72	66.62	66.52	69.50
387	59.85	66.05	66.41	68.50
388	59.93	65.44	66.21	67.56
389	59.97	64.83	65.97	66.68
390	59.97	64.22	65.68	65.87
391	59.94	63.64	65.35	65.12
392	59.88	63.09	65.00	64.43
393	59.79	62.57	64.64	63.79
394	59.69	62.07	64.27	63.20
395	59.57	61.60	63.90	62.64
396	59.44	61.16	63.52	62.13
397	59.30	60.74	63.15	61.64
398	59.16	60.35	62.77	61.19
399	59.01	59.97	62.39	60.75
400	58.86	59.62	62.02	60.35
401	58.70	59.29	61.65	59.96
402	58.53	58.99	61.30	59.67
403	58.37	58.89	60.96	60.02
404	58.21	59.08	60.73	60.91
405	58.07	59.52	60.65	61.99
406	57.97	60.10	60.73	63.14
407	57.90	60.77	60.91	64.24
408	57.88	61.46	61.18	65.27
409	57.91	62.15	61.50	66.22
410	57.97	62.83	61.86	67.09
411	58.07	63.48	62.27	67.90
412	58.20	64.10	62.67	68.63
413	58.36	64.69	63.10	69.31
414	58.52	65.24	63.53	69.95
415	58.70	65.76	63.96	70.53
416	58.89	66.26	64.40	71.08
417	59.10	66.73	64.84	71.60
418	59.31	67.18	65.26	72.08
419	59.52	67.60	65.68	72.53
420	59.74	67.99	66.09	72.96
421	59.97	68.37	66.50	73.36
422	60.18	68.70	66.91	73.67
423	60.40	68.85	67.27	73.39
424	60.62	68.72	67.55	72.63
425	60.82	68.35	67.69	71.65
426	60.98	67.84	67.69	70.64
427	61.11	67.25	67.57	69.63
428	61.18	66.65	67.37	68.69
429	61.21	66.03	67.12	67.82
430	61.20	65.42	66.82	67.00
431	61.16	64.84	66.49	66.25
432	61.10	64.28	66.14	65.56
433	61.01	63.75	65.78	64.92
434	60.90	63.26	65.42	64.33
435	60.78	62.78	65.03	63.77
436	60.65	62.34	64.65	63.25
437	60.51	61.92	64.27	62.76
438	60.35	61.52	63.89	62.30
439	60.20	61.15	63.51	61.87
440	60.04	60.80	63.15	61.46
